"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Vladimir Guerrero Jr.","TOR","101","432","33","81","83","2","13.7%","17.1%",".327",".332",".327",".424",".654",".448",".430","187","-0.4","45.2","-7.9","5.2","19611"
"Fernando Tatis Jr.","SDP","88","365","31","79","70","23","12.1%","28.5%",".356",".328",".290",".373",".647",".419",".416","166","7.5","37.9","-2.8","4.7","19709"
"Shohei Ohtani","LAA","101","404","37","72","82","15","11.9%","30.7%",".403",".318",".278",".369",".682",".430",".432","178","1.4","39.6","-8.7","4.5","19755"
"Marcus Semien","TOR","101","451","24","76","64","10","9.1%","22.8%",".251",".312",".275",".341",".526",".368",".325","133","2.9","21.0","6.9","4.4","12533"
"Max Muncy","LAD","90","375","22","61","62","2","17.1%","17.6%",".279",".290",".279",".413",".557",".412",".434","163","1.3","31.2","-0.7","4.3","13301"
"Ronald Acuna Jr.","ATL","82","360","24","72","52","17","13.6%","23.6%",".313",".311",".283",".394",".596",".414",".425","158","3.7","30.3","0.7","4.3","18401"
"Trea Turner","WSN","96","420","18","66","49","21","6.2%","18.3%",".198",".363",".322",".369",".521",".381",".356","137","2.2","21.7","6.7","4.2","16252"
"Cedric Mullins II","BAL","102","437","17","58","36","18","8.7%","18.1%",".223",".364",".321",".385",".544",".395",".352","154","0.9","29.4","-2.5","4.2","17929"
"Rafael Devers","BOS","100","422","27","68","82","3","9.2%","23.5%",".297",".317",".286",".358",".583",".392",".394","147","0.6","24.9","2.4","4.2","17350"
"Xander Bogaerts","BOS","97","409","16","62","55","5","9.0%","18.3%",".213",".347",".309",".374",".522",".380",".348","139","1.7","21.3","4.2","4.0","12161"
"Jose Altuve","HOU","92","434","25","80","65","4","10.8%","15.0%",".235",".275",".280",".357",".515",".370",".344","141","-0.4","21.0","1.9","3.8","5417"
"Matt Olson","OAK","100","424","27","68","67","3","11.8%","16.0%",".294",".271",".280",".370",".573",".393",".393","157","1.7","30.9","-7.8","3.8","14344"
"Carlos Correa","HOU","96","416","16","68","58","0","12.7%","19.2%",".204",".307",".272",".368",".476",".363",".351","136","-1.6","16.8","6.5","3.8","14162"
"Chris Taylor","LAD","101","411","17","76","59","10","11.2%","26.3%",".216",".361",".283",".375",".499",".376",".360","139","4.9","25.4","-2.6","3.6","13757"
"Bryan Reynolds","PIT","101","425","18","59","58","3","10.6%","20.5%",".216",".362",".309",".388",".525",".390",".383","146","1.1","25.6","-3.3","3.6","19326"
"Buster Posey","SFG","67","267","13","42","32","0","13.1%","18.0%",".216",".371",".329",".419",".545",".411",".383","161","-2.7","17.9","9.1","3.6","9166"
"Manny Machado","SDP","99","411","20","64","75","9","11.2%","16.1%",".239",".291",".284",".360",".522",".370",".382","134","-1.7","16.0","5.6","3.5","11493"
"Brandon Crawford","SFG","85","325","18","50","62","8","10.8%","21.2%",".256",".318",".288",".366",".544",".381",".373","142","1.4","18.5","5.3","3.5","5343"
"Jose Ramirez","CLE","93","383","22","67","62","11","10.4%","14.4%",".267",".243",".255",".345",".523",".362",".376","129","2.6","16.0","5.0","3.4","13510"
"Jake Cronenworth","SDP","105","445","15","72","47","4","8.1%","14.2%",".193",".297",".277",".349",".471",".352",".345","123","2.4","15.3","3.7","3.4","18036"
"Juan Soto","WSN","94","400","18","69","58","6","18.0%","15.0%",".209",".320",".301",".425",".509",".400",".422","149","-2.9","21.8","-1.4","3.4","20123"
"Nick Castellanos","CIN","86","368","18","59","59","2","7.3%","21.5%",".252",".386",".329",".383",".582",".406",".373","152","2.3","26.7","-5.3","3.4","11737"
"Bo Bichette","TOR","101","443","19","81","71","16","6.5%","20.3%",".191",".339",".296",".348",".487",".359",".359","127","4.3","18.7","-0.8","3.3","19612"
"Joey Gallo","- - -","97","398","25","57","55","6","19.1%","32.2%",".261",".267",".217",".374",".478",".368",".374","136","2.6","19.8","-0.6","3.3","14128"
"Will Smith","LAD","86","326","14","46","48","2","11.0%","19.3%",".219",".287",".263",".365",".482",".362",".360","131","0.5","13.2","8.6","3.3","19197"
"Starling Marte","- - -","67","289","7","53","25","23","11.8%","20.8%",".139",".369",".298",".399",".437",".367",".352","135","5.9","18.7","4.3","3.3","9241"
"Bryce Harper","PHI","83","348","16","54","38","12","14.9%","23.3%",".237",".359",".296",".408",".533",".400",".410","151","1.0","23.4","-2.7","3.2","11579"
"Justin Turner","LAD","99","416","19","59","61","0","10.6%","16.6%",".203",".318",".295",".385",".499",".381",".365","143","-2.2","20.5","-2.9","3.1","5235"
"Aaron Judge","NYY","89","380","21","52","48","2","12.4%","25.3%",".231",".333",".280",".374",".511",".379",".424","143","-0.1","19.8","-2.0","3.1","15640"
"Willy Adames","- - -","102","398","17","55","56","3","10.6%","28.9%",".216",".335",".258",".337",".475",".349",".328","120","-0.3","10.1","7.3","3.1","15986"
"Nolan Arenado","STL","101","422","20","50","62","1","7.1%","12.8%",".236",".263",".267",".322",".503",".347",".320","120","-0.1","10.5","5.5","3.0","9777"
"Omar Narvaez","MIL","80","289","9","38","32","0","10.7%","18.0%",".161",".330",".290",".377",".452",".359",".326","124","-1.3","7.4","12.6","3.0","13338"
"Freddie Freeman","ATL","105","459","23","76","59","6","14.4%","17.0%",".214",".308",".289",".394",".503",".380",".412","137","2.5","23.8","-9.4","2.9","5361"
"Yoan Moncada","CHW","94","400","9","46","46","2","14.5%","26.0%",".143",".357",".266",".380",".409",".350",".359","125","-0.7","11.4","4.1","2.9","17232"
"Mookie Betts","LAD","82","374","14","63","40","7","12.6%","16.3%",".232",".291",".270",".374",".502",".374",".355","138","0.3","18.4","-1.6","2.9","13611"
"Ozzie Albies","ATL","104","445","17","65","69","13","7.6%","18.0%",".227",".289",".264",".324",".491",".346",".336","114","5.4","13.5","0.9","2.9","16556"
"Mark Canha","OAK","87","383","11","61","37","10","12.8%","19.8%",".181",".306",".257",".386",".438",".364",".352","137","0.7","18.0","-3.7","2.8","11445"
"Kris Bryant","CHC","93","374","18","58","51","4","10.4%","23.8%",".236",".314",".267",".358",".503",".369",".352","132","2.7","17.7","-2.4","2.8","15429"
"J.T. Realmuto","PHI","84","335","11","39","42","6","10.1%","23.0%",".175",".311",".257",".346",".432",".338",".349","110","3.0","7.4","9.0","2.7","11739"
"Adam Frazier","- - -","103","448","4","62","32","5","7.8%","10.5%",".121",".351",".318",".379",".438",".357",".331","124","-0.8","12.9","-0.4","2.7","15223"
"Byron Buxton","MIN","27","110","10","21","19","5","3.6%","22.7%",".398",".412",".369",".409",".767",".490",".431","217","2.4","18.0","5.1","2.7","14161"
"Sean Murphy","OAK","87","333","13","33","47","0","8.1%","25.2%",".195",".258",".219",".306",".414",".314",".330","103","-1.9","-0.7","16.2","2.7","19352"
"Tim Anderson","CHW","88","391","9","64","37","16","4.6%","22.3%",".137",".370",".299",".332",".437",".332",".313","112","3.1","8.9","4.4","2.7","15172"
"Jesse Winker","CIN","97","433","21","68","59","1","9.7%","16.4%",".236",".324",".301",".379",".538",".392",".381","143","-5.5","18.1","-5.4","2.7","13590"
"Yuli Gurriel","HOU","98","413","11","53","64","1","9.9%","10.9%",".160",".330",".319",".385",".479",".370",".325","141","-0.5","20.0","-7.8","2.6","19198"
"Kyle Tucker","HOU","93","383","20","54","64","9","7.6%","16.2%",".247",".278",".273",".327",".520",".356",".396","132","0.9","15.7","-2.5","2.6","18345"
"Michael Brantley","HOU","82","357","6","53","35","1","7.0%","10.6%",".147",".359",".330",".384",".477",".373",".380","143","-1.6","17.0","-3.2","2.6","4106"
"Mike Zunino","TBR","71","242","20","37","39","0","10.3%","36.8%",".318",".204",".194",".293",".512",".341",".345","121","0.3","6.4","11.0","2.6","13265"
"Austin Riley","ATL","105","425","22","55","62","0","10.6%","24.2%",".235",".336",".287",".372",".522",".379",".368","136","-2.6","16.8","-5.3","2.5","18360"
"Brandon Lowe","TBR","97","396","22","57","52","4","12.9%","30.1%",".244",".270",".223",".338",".467",".345",".357","124","2.0","13.6","-1.9","2.5","18882"
"Jonathan India","CIN","94","388","10","57","42","7","13.1%","21.9%",".155",".348",".278",".403",".434",".370",".354","129","-3.0","11.3","1.1","2.5","21523"
"J.D. Martinez","BOS","99","427","20","68","66","0","9.6%","22.7%",".247",".336",".289",".356",".535",".376",".368","137","-2.4","16.6","-6.7","2.5","6184"
"Enrique Hernandez","BOS","90","382","14","53","39","1","8.9%","19.9%",".211",".275",".246",".325",".457",".336",".331","109","1.0","5.4","6.0","2.5","10472"
"Max Stassi","LAA","48","170","9","29","22","0","8.2%","28.8%",".232",".398",".305",".382",".536",".394",".356","154","-2.0","9.2","9.1","2.4","10059"
"Nicky Lopez","KCR","93","310","0","42","23","8","10.3%","12.9%",".078",".329",".283",".361",".361",".322",".290","102","5.6","6.4","6.3","2.4","19339"
"Tyler O'Neill","STL","82","312","17","44","40","9","5.8%","31.4%",".239",".339",".264",".324",".504",".352",".393","123","1.4","10.6","2.4","2.3","15711"
"Joey Wendle","TBR","86","316","7","50","36","6","6.0%","23.1%",".170",".352",".281",".339",".451",".338",".279","119","-0.2","7.1","5.1","2.3","13853"
"Miguel Rojas","MIA","83","337","5","42","27","9","7.1%","13.9%",".130",".300",".266",".326",".396",".316",".292","102","2.0","2.8","9.3","2.3","7802"
"Mike Trout","LAA","36","146","8","23","18","2","18.5%","28.1%",".291",".456",".333",".466",".624",".453",".422","193","1.5","18.0","-0.2","2.3","10155"
"Jorge Polanco","MIN","97","411","15","60","51","9","7.8%","15.3%",".186",".290",".272",".333",".458",".340",".342","116","2.7","10.7","-2.4","2.3","13152"
"Yordan Alvarez","HOU","89","373","19","60","67","1","8.0%","26.8%",".228",".341",".279",".349",".508",".364",".366","137","0.8","17.5","-8.4","2.2","19556"
"Joey Votto","CIN","76","318","21","40","59","1","12.3%","23.6%",".280",".306",".276",".371",".556",".392",".404","143","0.6","18.0","-6.6","2.2","4314"
"Whit Merrifield","KCR","103","450","8","56","53","27","6.2%","14.0%",".127",".299",".273",".318",".400",".309",".299","94","5.9","2.6","3.6","2.2","11281"
"Steven Duggar","SFG","78","223","7","35","27","6","9.4%","30.9%",".190",".403",".285",".359",".475",".357",".316","126","2.7","10.1","4.0","2.1","17719"
"Josh Rojas","ARI","93","366","10","50","28","7","12.0%","24.9%",".170",".346",".268",".356",".438",".347",".308","115","3.7","10.8","-1.5","2.1","19734"
"Paul Goldschmidt","STL","102","437","17","56","55","6","9.2%","21.7%",".180",".314",".269",".339",".449",".342",".379","116","1.0","10.0","-3.1","2.1","9218"
"Kyle Seager","SEA","103","430","22","43","64","2","9.1%","24.9%",".221",".243",".221",".295",".442",".316",".326","104","-0.1","1.9","4.4","2.1","9785"
"Mitch Haniger","SEA","100","434","25","71","63","1","6.7%","23.7%",".241",".288",".261",".318",".501",".348",".351","126","0.2","13.7","-7.9","2.1","14274"
"Ty France","SEA","95","400","10","51","45","0","6.8%","16.8%",".151",".312",".276",".353",".426",".340",".327","120","0.4","10.2","-3.2","2.1","17982"
"Eduardo Escobar","- - -","100","409","23","52","66","1","7.6%","21.5%",".236",".258",".244",".301",".480",".332",".322","105","1.1","3.9","3.3","2.1","6153"
"Adolis Garcia","TEX","93","383","23","48","63","8","5.0%","30.3%",".240",".312",".257",".300",".497",".338",".319","115","-2.4","4.7","2.6","2.1","19287"
"Javier Baez","- - -","92","365","23","49","67","13","4.1%","36.4%",".242",".328",".248",".291",".490",".330",".305","106","2.6","5.5","3.0","2.0","12979"
"Kolten Wong","MIL","65","274","8","41","24","8","6.2%","16.8%",".169",".337",".298",".358",".468",".356",".323","122","1.4","8.9","2.5","2.0","12532"
"Matt Chapman","OAK","103","424","14","50","47","2","11.3%","31.6%",".162",".289",".216",".307",".378",".300",".304","94","2.3","-1.0","6.2","2.0","16505"
"Myles Straw","- - -","99","375","2","45","34","17","10.1%","18.9%",".064",".322",".261",".337",".324",".298",".283","92","2.4","-1.3","8.1","2.0","17620"
"Dansby Swanson","ATL","106","433","20","49","57","7","6.9%","26.8%",".225",".297",".247",".303",".472",".327",".329","102","1.2","2.3","2.9","1.9","18314"
"Austin Meadows","TBR","98","420","20","60","76","3","11.0%","22.9%",".236",".269",".242",".331",".478",".344",".333","123","0.1","11.8","-7.1","1.9","15672"
"Tommy Pham","SDP","103","394","11","61","35","13","14.2%","22.6%",".155",".312",".255",".365",".409",".342",".361","116","0.8","8.9","-2.9","1.9","2967"
"Trent Grisham","SDP","79","325","11","39","39","10","11.1%","23.1%",".183",".302",".250",".342",".433",".338",".310","114","0.9","6.5","1.8","1.9","18564"
"Willson Contreras","CHC","94","373","17","43","37","4","11.0%","27.3%",".201",".284",".233",".340",".434",".338",".340","112","-3.3","2.2","4.4","1.9","11609"
"Yasmani Grandal","CHW","63","246","14","42","38","0","24.4%","26.0%",".249",".189",".188",".388",".436",".365",".395","135","-2.6","7.7","2.5","1.9","11368"
"Brandon Nimmo","NYM","46","186","2","26","15","2","17.2%","29.0%",".113",".453",".298",".427",".411",".376",".349","140","-0.4","9.1","3.4","1.9","12927"
"Ramon Laureano","OAK","85","365","14","41","39","11","6.8%","25.5%",".193",".293",".242",".310",".435",".322",".332","109","-0.2","3.6","2.3","1.8","17128"
"Ryan McMahon","COL","98","387","17","58","55","4","9.3%","26.1%",".209",".316",".261",".331",".470",".341",".339","99","0.3","-0.2","5.9","1.8","15112"
"Akil Baddoo","DET","85","301","10","42","41","14","10.3%","25.9%",".213",".341",".269",".342",".481",".351",".313","122","2.2","10.4","-2.4","1.8","22168"
"Cesar Hernandez","- - -","98","430","18","61","47","0","8.8%","21.2%",".194",".262",".236",".309",".430",".320",".326","100","0.9","1.0","2.5","1.8","10556"
"Jean Segura","PHI","76","328","6","41","33","7","6.7%","14.6%",".134",".346",".305",".361",".440",".346",".319","116","0.1","6.7","0.6","1.8","5933"
"Rhys Hoskins","PHI","100","419","23","58","63","3","11.0%","24.8%",".262",".269",".240",".329",".501",".354",".366","121","-1.7","9.6","-5.3","1.8","16472"
"Teoscar Hernandez","TOR","82","346","16","45","63","7","6.4%","25.7%",".205",".358",".292",".338",".497",".356",".361","125","0.1","10.6","-4.6","1.8","13066"
"Francisco Lindor","NYM","88","364","11","49","36","8","11.3%","16.8%",".148",".249",".228",".326",".376",".309",".330","97","1.6","0.3","5.7","1.8","12916"
"A.J. Pollock","LAD","79","278","13","34","38","5","6.5%","21.2%",".224",".337",".294",".349",".518",".367",".356","133","0.1","11.9","-3.1","1.8","9256"
"Harrison Bader","STL","45","175","9","21","27","6","8.6%","16.0%",".229",".303",".293",".354",".522",".363",".321","130","0.5","7.3","4.7","1.8","18030"
"Patrick Wisdom","CHC","58","182","16","31","29","3","8.8%","37.4%",".321",".358",".273",".341",".594",".391",".347","146","0.5","11.1","0.4","1.8","13602"
"Kyle Schwarber","WSN","72","303","25","42","53","1","10.2%","29.0%",".317",".273",".253",".340",".570",".382",".394","137","-1.2","13.0","-5.5","1.7","16478"
"Tony Kemp","OAK","84","256","4","31","19","5","14.5%","18.4%",".135",".300",".251",".369",".386",".336",".293","118","2.8","8.5","0.0","1.7","14894"
"Nelson Cruz","- - -","92","375","21","48","53","3","10.1%","19.2%",".242",".297",".283",".360",".525",".370",".374","136","-3.0","13.6","-9.3","1.7","2434"
"Trey Mancini","BAL","100","423","19","58","60","0","8.3%","22.9%",".215",".307",".264",".333",".479",".347",".361","122","-0.8","10.3","-7.9","1.7","15149"
"Darin Ruf","SFG","74","187","11","31","26","1","16.0%","26.2%",".279",".316",".266",".390",".545",".395",".397","151","-0.6","11.5","-0.7","1.7","9929"
"Jared Walsh","LAA","97","394","22","47","67","2","6.6%","27.7%",".250",".321",".266",".320",".516",".352",".326","125","-0.3","11.7","-8.6","1.7","18607"
"Jeimer Candelario","DET","97","410","7","46","35","0","11.2%","22.2%",".135",".348",".273",".359",".409",".338",".337","113","-0.4","6.2","-3.7","1.7","13621"
"Jacob Stallings","PIT","77","288","8","26","41","0","10.8%","20.1%",".161",".275",".235",".323",".396",".316",".309","98","-0.8","-1.6","8.8","1.7","13723"
"Eric Haase","DET","58","225","18","36","44","1","6.7%","31.1%",".309",".275",".246",".302",".556",".360",".341","128","0.1","7.7","0.9","1.6","14111"
"Gary Sanchez","NYY","80","311","17","40","38","0","13.2%","28.0%",".241",".247",".214",".328",".455",".336",".349","114","-2.7","2.6","3.0","1.6","11442"
"Trevor Story","COL","90","379","13","49","48","17","8.7%","23.7%",".190",".286",".241",".314",".432",".319",".326","85","2.9","-4.4","8.1","1.6","12564"
"Yandy Diaz","TBR","88","365","7","45","37","0","14.8%","14.8%",".114",".294",".260",".373",".373",".334",".329","116","-1.9","5.3","-1.9","1.6","16578"
"Josh Donaldson","MIN","83","329","16","45","44","0","14.9%","19.5%",".232",".261",".250",".359",".482",".358",".385","128","-3.2","7.9","-3.3","1.6","5038"
"Evan Longoria","SFG","50","186","9","28","30","1","13.4%","22.6%",".236",".327",".280",".376",".516",".380",".415","141","-1.0","8.6","1.1","1.6","9368"
"DJ LeMahieu","NYY","97","439","7","48","39","4","10.5%","15.3%",".093",".304",".266",".346",".359",".314",".336","99","0.6","0.2","0.4","1.6","9874"
"Salvador Perez","KCR","103","422","26","49","66","1","2.4%","26.8%",".238",".323",".277",".306",".515",".347",".356","119","-1.4","8.3","-7.3","1.6","7304"
"Mike Yastrzemski","SFG","86","359","17","51","43","2","10.3%","22.8%",".249",".250",".227",".320",".476",".338",".313","114","3.1","9.3","-5.6","1.5","14854"
"Avisail Garcia","MIL","93","366","18","47","63","4","6.6%","24.6%",".201",".311",".266",".325",".467",".338",".351","110","-1.1","3.6","-0.2","1.5","5760"
"Randy Arozarena","TBR","96","415","14","63","48","11","8.7%","27.0%",".171",".331",".257",".335",".428",".331",".287","114","0.8","8.0","-7.0","1.5","19290"
"David Fletcher","LAA","99","422","2","57","38","5","3.8%","9.7%",".073",".334",".304",".332",".377",".310",".278","97","1.7","0.0","0.7","1.5","17992"
"J.P. Crawford","SEA","104","430","5","53","33","3","7.9%","17.2%",".097",".317",".268",".328",".365",".306",".293","98","-1.7","-3.0","3.3","1.5","15491"
"Mitch Garver","MIN","47","158","11","21","24","0","13.9%","29.1%",".321",".260",".231",".348",".552",".381",".386","143","-1.1","7.2","2.3","1.5","15161"
"Jose Abreu","CHW","98","419","18","51","77","1","9.3%","23.4%",".208",".279",".244",".334",".453",".338",".344","117","-3.1","5.5","-4.9","1.5","15676"
"Robbie Grossman","DET","102","446","16","56","49","12","15.5%","22.9%",".178",".266",".227",".354",".405",".335",".340","111","-0.5","5.6","-6.0","1.5","5254"
"Anthony Rizzo","- - -","94","385","16","46","42","4","10.1%","15.3%",".213",".266",".256",".358",".470",".357",".368","124","-1.7","10.0","-7.7","1.5","3473"
"Freddy Galvis","BAL","72","274","9","36","26","1","6.6%","21.2%",".165",".290",".249",".306",".414",".311",".276","97","0.7","-0.3","5.1","1.4","6609"
"Nick Madrigal","CHW","54","215","2","30","21","1","5.1%","7.9%",".120",".324",".305",".349",".425",".336",".287","115","1.1","5.1","1.7","1.4","20521"
"Tyrone Taylor","MIL","69","198","9","27","34","5","8.1%","21.7%",".218",".301",".264",".348",".483",".356",".331","122","0.4","6.0","1.3","1.4","13675"
"Josh Harrison","WSN","90","359","6","39","38","5","7.0%","13.9%",".141",".332",".294",".366",".434",".351",".338","117","-0.8","7.0","-5.1","1.4","8202"
"Jonathan Schoop","DET","102","434","17","57","61","1","5.8%","20.3%",".175",".320",".283",".327",".459",".337",".315","113","0.0","6.6","-7.9","1.4","11265"
"Ketel Marte","ARI","37","148","4","24","21","1","8.1%","14.2%",".185",".414",".370",".419",".556",".415",".393","159","0.1","11.2","-2.6","1.3","13613"
"Jed Lowrie","OAK","100","386","11","43","51","0","9.6%","19.7%",".150",".302",".259",".329",".409",".321",".350","108","0.0","3.9","-3.7","1.3","4418"
"Pete Alonso","NYM","94","378","23","48","62","1","9.3%","20.1%",".245",".268",".260",".336",".504",".357",".366","128","-3.3","10.1","-9.4","1.3","19251"
"Christian Arroyo","BOS","50","170","6","21","25","1","4.1%","24.1%",".194",".333",".271",".327",".465",".342",".301","114","1.4","4.2","2.9","1.3","16434"
"Andrew McCutchen","PHI","98","400","20","55","58","6","15.3%","23.0%",".228",".254",".234",".353",".462",".351",".358","119","0.5","10.1","-10.1","1.3","9847"
"Gio Urshela","NYY","84","330","11","32","41","1","5.5%","24.8%",".165",".339",".274",".315",".439",".325",".321","106","-5.9","-3.4","5.0","1.3","10681"
"Tucker Barnhart","CIN","78","264","4","31","31","0","8.3%","28.0%",".123",".367",".264",".341",".387",".322",".278","98","0.5","-0.2","4.5","1.3","10200"
"Carson Kelly","ARI","52","196","8","23","26","0","15.8%","20.9%",".192",".279",".250",".383",".442",".359",".381","123","-0.8","5.0","1.4","1.3","13620"
"Ramon Urias","BAL","51","169","4","19","24","1","8.3%","23.1%",".125",".358",".283",".355",".408",".337",".349","114","0.6","3.6","3.3","1.3","18795"
"Gleyber Torres","NYY","91","376","6","31","37","10","10.6%","20.7%",".094",".297",".242",".324",".335",".296",".323","87","1.1","-5.0","4.7","1.3","16997"
"Paul DeJong","STL","75","281","14","34","33","3","9.3%","24.9%",".189",".218",".201",".292",".390",".300",".316","89","1.0","-2.9","6.3","1.3","18015"
"Franmil Reyes","CLE","60","243","20","34","51","2","6.6%","32.1%",".333",".328",".276",".325",".609",".387",".360","146","-3.2","10.2","-6.1","1.3","14566"
"Kyle Farmer","CIN","99","332","10","37","34","2","4.8%","17.2%",".152",".292",".263",".329",".414",".324",".311","99","-1.6","-2.0","3.7","1.3","14813"
"Tyler Stephenson","CIN","84","264","5","41","30","0","11.0%","17.0%",".128",".330",".283",".375",".412",".346",".322","113","-2.1","2.5","1.4","1.2","17988"
"Raimel Tapia","COL","99","410","5","59","43","19","7.8%","13.9%",".099",".327",".289",".342",".388",".319",".284","85","5.3","-2.7","1.7","1.2","14350"
"LaMonte Wade Jr.","SFG","54","183","13","26","30","3","9.8%","23.5%",".321",".269",".258",".343",".579",".385",".348","144","-0.6","9.5","-3.2","1.2","18126"
"Amed Rosario","CLE","94","378","6","49","29","9","5.6%","20.4%",".114",".321",".264",".310",".378",".300",".307","87","0.7","-5.3","4.5","1.2","15518"
"Jesus Aguilar","MIA","101","392","18","34","75","0","8.4%","19.1%",".204",".286",".267",".330",".471",".339",".339","117","-2.2","6.1","-6.8","1.2","11342"
"Alex Bregman","HOU","59","262","7","37","34","1","11.1%","16.0%",".153",".308",".275",".359",".428",".339",".325","120","-2.5","3.8","-0.9","1.2","17678"
"Brett Phillips","TBR","83","210","6","34","24","12","11.9%","39.5%",".160",".344",".210",".308",".370",".300",".272","93","3.2","1.5","3.2","1.2","14735"
"Luis Arraez","MIN","69","277","1","40","25","1","9.0%","10.1%",".085",".335",".305",".368",".390",".333",".340","111","1.4","5.0","-2.6","1.2","18568"
"Dylan Carlson","STL","102","434","11","52","43","0","9.9%","24.2%",".158",".313",".251",".334",".409",".324",".328","105","0.0","2.6","-4.8","1.2","20126"
"Isiah Kiner-Falefa","TEX","103","436","6","47","34","15","3.2%","15.4%",".095",".291",".255",".292",".350",".281",".284","77","3.9","-8.5","5.2","1.2","16512"
"Charlie Blackmon","COL","98","383","6","43","49","2","9.7%","12.8%",".122",".307",".276",".360",".398",".335",".352","95","1.8","-0.6","-0.2","1.2","7859"
"Aledmys Diaz","HOU","38","146","6","20","26","0","3.4%","13.7%",".216",".315",".299",".356",".515",".370",".371","141","-0.1","7.1","-0.6","1.2","15937"
"Brian Anderson","MIA","42","163","5","16","15","4","9.2%","25.8%",".143",".340",".265",".337",".408",".325",".293","108","1.4","2.9","3.3","1.2","18289"
"Ji-Man Choi","TBR","50","189","8","24","31","0","14.3%","27.0%",".200",".337",".263",".376",".463",".366",".371","138","0.6","9.4","-4.5","1.1","5452"
"Andrew Vaughn","CHW","91","330","11","44","32","1","7.6%","23.0%",".186",".305",".258",".321",".444",".329",".332","110","-0.8","3.4","-3.4","1.1","26197"
"Carlos Santana","KCR","103","436","17","54","55","2","14.4%","15.6%",".167",".239",".232",".346",".399",".327",".347","106","0.3","3.4","-7.0","1.1","2396"
