"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Yasmani Grandal","CHW","138","553","463","105","20","1","24","66","78","83","150","3","2","1",".227",".345",".430",".775",".332","7.0","-0.4","4.1","131.4","11368"
"J.T. Realmuto","PHI","136","545","494","134","28","3","25","80","93","38","119","9","8","2",".271",".332",".492",".824",".343","4.0","0.5","3.9","48.1","11739"
"Salvador Perez","KCR","131","526","499","132","27","0","28","57","88","14","115","8","1","0",".265",".293",".487",".780",".322","6.0","0.0","3.2","83.6","7304"
"Will Smith","LAD","99","389","336","81","18","1","21","55","75","43","98","6","2","0",".241",".334",".488",".822",".343","3.0","0.2","3.0","105.0","19197"
"Sean Murphy","OAK","104","410","368","89","20","1","16","50","49","31","95","5","1","0",".242",".306",".432",".738",".311","4.0","0.0","2.3","176.9","19352"
"Christian Vazquez","BOS","110","437","404","108","21","1","14","51","48","28","84","2","7","4",".267",".317",".428",".745",".315","6.0","-0.6","2.3","151.1","9774"
"Willson Contreras","CHC","113","450","388","97","20","2","16","57","61","44","107","15","3","4",".250",".347",".436",".782",".334","-3.0","-1.4","2.1","120.3","11609"
"Danny Jansen","TOR","99","390","338","78","16","1","16","49","56","39","74","7","1","0",".231",".321",".426",".747",".318","0.0","0.0","1.9","364.6","16535"
"Buster Posey","SFG","118","474","429","115","22","1","6","45","47","39","68","4","2","1",".268",".333",".366",".699",".302","3.0","-0.3","1.8","249.9","9166"
"Tucker Barnhart","CIN","104","410","361","85","16","1","11","34","45","43","90","2","1","1",".235",".319",".377",".695",".298","9.0","-0.4","1.7","549.8","10200"
"Travis d'Arnaud","ATL","113","448","406","107","19","0","17","49","84","35","103","3","1","0",".264",".324",".436",".760",".321","-2.0","0.0","1.7","137.9","7739"
"Carson Kelly","ARI","96","378","338","82","17","0","14","42","49","36","79","3","0","0",".243",".320",".417",".737",".312","2.0","-0.2","1.5","264.0","13620"
"Jacob Stallings","PIT","94","370","333","85","19","0","7","37","37","28","83","4","0","1",".255",".318",".375",".693",".297","6.0","-0.6","1.5","497.0","13723"
"Max Stassi","LAA","86","340","298","68","12","0","13","36","45","32","87","6","0","1",".228",".312",".399",".711",".305","1.0","-0.6","1.3","424.3","10059"
"Roberto Perez","CLE","96","378","330","67","10","1","11","30","43","37","117","4","0","0",".203",".290",".339",".629",".275","10.0","-0.2","1.3","535.4","2900"
"James McCann","NYM","110","435","398","95","16","1","14","47","51","26","124","8","2","2",".239",".297",".389",".686",".293","1.0","-0.7","1.2","179.2","12859"
"Mitch Garver","MIN","79","316","279","65","13","1","15","43","46","32","93","3","0","0",".233",".316",".448",".764",".323","-4.0","-0.2","1.2","208.7","15161"
"Martin Maldonado","HOU","94","371","327","69","14","0","12","41","40","31","107","8","1","1",".211",".294",".364",".658",".285","3.0","-0.4","1.2","549.1","6887"
